RN,RN_CD,geometry
수암로,3170032,"0    LINESTRING (129.3092828665595 35.5319184213835...
Name: geometry, dtype: object"
수암로,3170032,"0    LINESTRING (129.3295155648187 35.5261507711484...
Name: geometry, dtype: object"
수암로,3170032,"0    LINESTRING (129.332327343055 35.52381095347409...
Name: geometry, dtype: object"
수암로,3170032,"0    LINESTRING (129.3354053658032 35.5217953583030...
Name: geometry, dtype: object"
수암로,3170032,"0    LINESTRING (129.337421440315 35.52077353125697...
Name: geometry, dtype: object"
수암로,3170032,"0    LINESTRING (129.3388347959116 35.5200681532450...
Name: geometry, dtype: object"
신남로,3170033,"0    LINESTRING (129.3125190122107 35.5219835429015...
Name: geometry, dtype: object"
신남로,3170033,"0    LINESTRING (129.3135745221888 35.5227814142905...
Name: geometry, dtype: object"
신남로,3170033,"0    LINESTRING (129.3132592182395 35.5224776906974...
Name: geometry, dtype: object"
신남로,3170033,"0    LINESTRING (129.3131794173393 35.5224168341138...
Name: geometry, dtype: object"
신두왕로,3170034,"0    LINESTRING (129.3026728679768 35.5018214672188...
Name: geometry, dtype: object"
신선로,3170035,"0    LINESTRING (129.3122785105485 35.5207835862856...
Name: geometry, dtype: object"
신여천로,3170036,"0    LINESTRING (129.3459493305109 35.5114902733719...
Name: geometry, dtype: object"
신여천로,3170036,"0    LINESTRING (129.3442415301846 35.5100187318927...
Name: geometry, dtype: object"
신정로,3170037,"0    LINESTRING (129.3173399596155 35.5475461285719...
Name: geometry, dtype: object"
신정로,3170037,"0    LINESTRING (129.3233330206815 35.5319611948554...
Name: geometry, dtype: object"
신화로,3170038,"0    LINESTRING (129.3305690025045 35.5295634580844...
Name: geometry, dtype: object"
신화로,3170038,"0    LINESTRING (129.3433122128999 35.5248671317372...
Name: geometry, dtype: object"
야음로,3170039,"0    LINESTRING (129.3242478144437 35.5222218768740...
Name: geometry, dtype: object"
어은로,3170040,"0    LINESTRING (129.2728557707389 35.5493448657161...
Name: geometry, dtype: object"
여천로,3170041,"0    LINESTRING (129.3427252063513 35.5244350185686...
Name: geometry, dtype: object"
여천로,3170041,"0    LINESTRING (129.3558831553026 35.5285713937560...
Name: geometry, dtype: object"
여천로,3170041,"0    LINESTRING (129.3338144205268 35.5226456542001...
Name: geometry, dtype: object"
여천로,3170041,"0    LINESTRING (129.3347910993269 35.5228177836348...
Name: geometry, dtype: object"
여천로,3170041,"0    LINESTRING (129.3403824756786 35.5239643337496...
Name: geometry, dtype: object"
옥현로,3170042,"0    LINESTRING (129.2615222294096 35.5446375599757...
Name: geometry, dtype: object"
옥현로,3170042,"0    LINESTRING (129.2562045453323 35.5387007425589...
Name: geometry, dtype: object"
왕생로,3170043,"0    LINESTRING (129.3329506409429 35.533460159294,...
Name: geometry, dtype: object"
용연로,3170044,"0    LINESTRING (129.3602831221932 35.4663950696774...
Name: geometry, dtype: object"
용연로,3170044,"0    LINESTRING (129.3509401140576 35.4863770394343...
Name: geometry, dtype: object"
용잠로,3170045,"0    LINESTRING (129.381555644645 35.48573915577695...
Name: geometry, dtype: object"
용잠로,3170045,"0    LINESTRING (129.3702575539321 35.4916761825049...
Name: geometry, dtype: object"
용잠로,3170045,"0    LINESTRING (129.3412311313735 35.5028828303609...
Name: geometry, dtype: object"
월평로,3170046,"0    LINESTRING (129.3057118263152 35.5403895284351...
Name: geometry, dtype: object"
은월로,3170047,"0    LINESTRING (129.2902817877288 35.5409542197097...
Name: geometry, dtype: object"
은월로,3170047,"0    LINESTRING (129.2978524584432 35.5400914118093...
Name: geometry, dtype: object"
장생포고래로,3170048,"0    LINESTRING (129.3675145482242 35.5123963019851...
Name: geometry, dtype: object"
정광로,3170049,"0    LINESTRING (129.2823422918401 35.5463640075547...
Name: geometry, dtype: object"
정동로,3170050,"0    LINESTRING (129.343819060883 35.53371038291683...
Name: geometry, dtype: object"
중앙로,3170051,"0    LINESTRING (129.3193184034551 35.5216405166619...
Name: geometry, dtype: object"
중앙로,3170051,"0    LINESTRING (129.3175205519438 35.5261430138685...
Name: geometry, dtype: object"
중앙로,3170051,"0    LINESTRING (129.3173271229537 35.5266348798584...
Name: geometry, dtype: object"
중앙로,3170051,"0    LINESTRING (129.3105172924107 35.5441063301047...
Name: geometry, dtype: object"
중앙로,3170051,"0    LINESTRING (129.30870747917 35.54811616485442,...
Name: geometry, dtype: object"
중앙로,3170051,"0    LINESTRING (129.3174211468332 35.5263957902814...
Name: geometry, dtype: object"
중앙로,3170051,"0    LINESTRING (129.3090498020285 35.5476469535232...
Name: geometry, dtype: object"
처용로,3170052,"0    LINESTRING (129.339124922795 35.49786220832657...
Name: geometry, dtype: object"
처용로,3170052,"0    LINESTRING (129.3398247743621 35.5195132826612...
Name: geometry, dtype: object"
팔등로,3170053,"0    LINESTRING (129.3153436397595 35.5460010908671...
Name: geometry, dtype: object"
팔등로,3170053,"0    LINESTRING (129.3160378434048 35.5461829113831...
Name: geometry, dtype: object"
팔등로,3170053,"0    LINESTRING (129.3066384008302 35.5437206125079...
Name: geometry, dtype: object"
팔등로,3170053,"0    LINESTRING (129.3150140086231 35.5459147483011...
Name: geometry, dtype: object"
대공원로,3170054,"0    LINESTRING (129.2850346791004 35.5359233961125...
Name: geometry, dtype: object"
대공원입구로,3170055,"0    LINESTRING (129.2934938775697 35.5320630984820...
Name: geometry, dtype: object"
