RN,RN_CD,geometry
대학로33번길,4310121,"0    LINESTRING (129.2535216810469 35.5403154167927...
Name: geometry, dtype: object"
대학로37번길,4310122,"0    LINESTRING (129.2559494449582 35.5394890762464...
Name: geometry, dtype: object"
대학로37번길,4310122,"0    LINESTRING (129.2549085138045 35.5401038965779...
Name: geometry, dtype: object"
대학로3번길,4310123,"0    LINESTRING (129.2535125346872 35.5367219261432...
Name: geometry, dtype: object"
대학로3번길,4310123,"0    LINESTRING (129.2543519578923 35.536596583308,...
Name: geometry, dtype: object"
대학로43번길,4310124,"0    LINESTRING (129.2562992898031 35.5398863044008...
Name: geometry, dtype: object"
대학로43번길,4310124,"0    LINESTRING (129.2569328689667 35.5395152797489...
Name: geometry, dtype: object"
대학로43번길,4310124,"0    LINESTRING (129.2552506235464 35.5405003057892...
Name: geometry, dtype: object"
대학로47번길,4310125,"0    LINESTRING (129.2566088497035 35.5402398408398...
Name: geometry, dtype: object"
대학로52번길,4310126,"0    LINESTRING (129.2575155052981 35.5401668702292...
Name: geometry, dtype: object"
대학로52번길,4310126,"0    LINESTRING (129.2582072475386 35.5397780319971...
Name: geometry, dtype: object"
대학로55번길,4310127,"0    LINESTRING (129.2577777716693 35.5404601803649...
Name: geometry, dtype: object"
대학로5번길,4310128,"0    LINESTRING (129.2538696631262 35.5371216970217...
Name: geometry, dtype: object"
대학로64번길,4310129,"0    LINESTRING (129.2582511927572 35.5409896123929...
Name: geometry, dtype: object"
대학로64번길,4310129,"0    LINESTRING (129.2590328595097 35.5405057256880...
Name: geometry, dtype: object"
대학로76번길,4310130,"0    LINESTRING (129.2590051778547 35.5418327792561...
Name: geometry, dtype: object"
대학로76번길,4310130,"0    LINESTRING (129.259803777725 35.54136000047049...
Name: geometry, dtype: object"
대학로84번길,4310131,"0    LINESTRING (129.2602544809317 35.5422917119891...
Name: geometry, dtype: object"
대학로84번길,4310131,"0    LINESTRING (129.2595282295595 35.5425211245495...
Name: geometry, dtype: object"
대학로94번길,4310132,"0    LINESTRING (129.2606456792718 35.5431173590353...
Name: geometry, dtype: object"
대학로94번길,4310132,"0    LINESTRING (129.259926090411 35.54334243344057...
Name: geometry, dtype: object"
덕하역뒷길,4310133,"0    LINESTRING (129.3077121840653 35.5003625899083...
Name: geometry, dtype: object"
도산로101번길,4310134,"0    LINESTRING (129.325529583819 35.53197477209181...
Name: geometry, dtype: object"
도산로101번길,4310134,"0    LINESTRING (129.3258124108101 35.5312235940023...
Name: geometry, dtype: object"
도산로101번길,4310134,"0    LINESTRING (129.3256827032056 35.5315939872566...
Name: geometry, dtype: object"
도산로107번길,4310135,"0    LINESTRING (129.3265906642672 35.5309116606233...
Name: geometry, dtype: object"
도산로119번길,4310136,"0    LINESTRING (129.3269668378678 35.5323538619348...
Name: geometry, dtype: object"
도산로119번길,4310136,"0    LINESTRING (129.3276661533268 35.5305577926492...
Name: geometry, dtype: object"
도산로119번길,4310136,"0    LINESTRING (129.3271209511364 35.5319640506736...
Name: geometry, dtype: object"
도산로135번길,4310137,"0    LINESTRING (129.3291747053231 35.5312725849583...
Name: geometry, dtype: object"
도산로139번길,4310138,"0    LINESTRING (129.3296151363739 35.5315135202709...
Name: geometry, dtype: object"
도산로77번길,4310139,"0    LINESTRING (129.3235352889086 35.5318414316677...
Name: geometry, dtype: object"
도산로77번길,4310139,"0    LINESTRING (129.3248601149208 35.5322438748888...
Name: geometry, dtype: object"
돋질로101번길,4310140,"0    LINESTRING (129.316655625882 35.53970456080999...
Name: geometry, dtype: object"
돋질로101번길,4310140,"0    LINESTRING (129.3168510039216 35.5391890057840...
Name: geometry, dtype: object"
돋질로102번길,4310141,"0    LINESTRING (129.3168698685787 35.5391939766561...
Name: geometry, dtype: object"
돋질로102번길,4310141,"0    LINESTRING (129.3170574138414 35.5386697082060...
Name: geometry, dtype: object"
돋질로113번길,4310142,"0    LINESTRING (129.3179790903361 35.5394862894250...
Name: geometry, dtype: object"
돋질로114번길,4310143,"0    LINESTRING (129.3179790903361 35.5394862894250...
Name: geometry, dtype: object"
돋질로119번길,4310144,"0    LINESTRING (129.3186194129559 35.5396550238354...
Name: geometry, dtype: object"
돋질로119번길,4310144,"0    LINESTRING (129.3184194288897 35.5401660242076...
Name: geometry, dtype: object"
돋질로11번길,4310145,"0    LINESTRING (129.3073650279787 35.5367019199768...
Name: geometry, dtype: object"
돋질로127번길,4310146,"0    LINESTRING (129.3196040435046 35.5399145266480...
Name: geometry, dtype: object"
돋질로139번길,4310147,"0    LINESTRING (129.3208261827007 35.5402406021429...
Name: geometry, dtype: object"
돋질로140번길,4310148,"0    LINESTRING (129.3210718527087 35.5397252316693...
Name: geometry, dtype: object"
돋질로145번길,4310149,"0    LINESTRING (129.321386457978 35.54038944392509...
Name: geometry, dtype: object"
돋질로145번길,4310149,"0    LINESTRING (129.3201191310989 35.5436251248375...
Name: geometry, dtype: object"
돋질로145번길,4310149,"0    LINESTRING (129.3214173551941 35.5429409409936...
Name: geometry, dtype: object"
돋질로145번길,4310149,"0    LINESTRING (129.320483241034 35.54269766906115...
Name: geometry, dtype: object"
돋질로145번길,4310149,"0    LINESTRING (129.3207974043134 35.5427784767228...
Name: geometry, dtype: object"
돋질로157번길,4310150,"0    LINESTRING (129.3227466316296 35.5407439660232...
Name: geometry, dtype: object"
돋질로157번길,4310150,"0    LINESTRING (129.3218589055828 35.5430509702601...
Name: geometry, dtype: object"
돋질로157번길,4310150,"0    LINESTRING (129.3214936936662 35.5440000099740...
Name: geometry, dtype: object"
돋질로171번길,4310151,"0    LINESTRING (129.3241330708753 35.5411006647046...
Name: geometry, dtype: object"
돋질로171번길,4310151,"0    LINESTRING (129.3228326949266 35.5443946043129...
Name: geometry, dtype: object"
돋질로17번길,4310152,"0    LINESTRING (129.3076638951157 35.5373953203935...
Name: geometry, dtype: object"
돋질로183번길,4310153,"0    LINESTRING (129.3254533228514 35.5414403195371...
Name: geometry, dtype: object"
돋질로198번길,4310154,"0    LINESTRING (129.3270442985216 35.5413027967940...
Name: geometry, dtype: object"
돋질로206번길,4310155,"0    LINESTRING (129.3279181510266 35.5415595292414...
Name: geometry, dtype: object"
돋질로21번길,4310156,"0    LINESTRING (129.3084129147492 35.5369734674006...
Name: geometry, dtype: object"
돋질로220번길,4310157,"0    LINESTRING (129.3293351176302 35.5419758050053...
Name: geometry, dtype: object"
돋질로22번길,4310158,"0    LINESTRING (129.3084129147492 35.5369734674006...
Name: geometry, dtype: object"
돋질로230번길,4310159,"0    LINESTRING (129.3304330899313 35.5422906018356...
Name: geometry, dtype: object"
돋질로234번길,4310160,"0    LINESTRING (129.3308311884341 35.5424057189356...
Name: geometry, dtype: object"
돋질로234번길,4310160,"0    LINESTRING (129.33108685729 35.54178779704795,...
Name: geometry, dtype: object"
돋질로234번길,4310160,"0    LINESTRING (129.331201456079 35.54151083191673...
Name: geometry, dtype: object"
돋질로234번길,4310160,"0    LINESTRING (129.3309627578228 35.5420877349332...
Name: geometry, dtype: object"
돋질로239번길,4310161,"0    LINESTRING (129.3311797527621 35.5430597449225...
Name: geometry, dtype: object"
돋질로239번길,4310161,"0    LINESTRING (129.3309801569874 35.5435241857858...
Name: geometry, dtype: object"
돋질로250번길,4310162,"0    LINESTRING (129.3324238697114 35.5428662454575...
Name: geometry, dtype: object"
돋질로251번길,4310163,"0    LINESTRING (129.33236940841 35.54393562536276,...
Name: geometry, dtype: object"
돋질로251번길,4310163,"0    LINESTRING (129.3325730454697 35.5434634200385...
Name: geometry, dtype: object"
돋질로257번길,4310164,"0    LINESTRING (129.3326898570631 35.5444521326092...
Name: geometry, dtype: object"
돋질로261번길,4310165,"0    LINESTRING (129.3335217549362 35.5437399598931...
Name: geometry, dtype: object"
돋질로261번길,4310165,"0    LINESTRING (129.3333195429104 35.5442089001846...
Name: geometry, dtype: object"
돋질로27번길,4310166,"0    LINESTRING (129.308715193053 35.53766814532546...
Name: geometry, dtype: object"
돋질로302번길,4310167,"0    LINESTRING (129.337698980139 35.54420138405419...
Name: geometry, dtype: object"
돋질로306번길,4310168,"0    LINESTRING (129.3382540092865 35.5435351141624...
Name: geometry, dtype: object"
돋질로311번길,4310169,"0    LINESTRING (129.3389978710112 35.5447232090171...
Name: geometry, dtype: object"
돋질로312번길,4310170,"0    LINESTRING (129.3388549626883 35.5434885049742...
Name: geometry, dtype: object"
돋질로31번길,4310171,"0    LINESTRING (129.3095080743684 35.5372607657626...
Name: geometry, dtype: object"
돋질로31번길,4310171,"0    LINESTRING (129.3081145553665 35.5407665469518...
Name: geometry, dtype: object"
돋질로325번길,4310172,"0    LINESTRING (129.3405126548965 35.5446071635275...
Name: geometry, dtype: object"
돋질로32번길,4310173,"0    LINESTRING (129.3094958554831 35.5372575613244...
Name: geometry, dtype: object"
돋질로332번길,4310174,"0    LINESTRING (129.3409049644246 35.5433266395108...
Name: geometry, dtype: object"
돋질로336번길,4310175,"0    LINESTRING (129.341432336584 35.54328476708185...
Name: geometry, dtype: object"
돋질로339번길,4310176,"0    LINESTRING (129.3420618420459 35.5438628102096...
Name: geometry, dtype: object"
돋질로346번길,4310177,"0    LINESTRING (129.3425392221265 35.5431968841426...
Name: geometry, dtype: object"
돋질로350번길,4310178,"0    LINESTRING (129.3430565829057 35.5431558080396...
Name: geometry, dtype: object"
돋질로355번길,4310179,"0    LINESTRING (129.3437173401307 35.5443567541719...
Name: geometry, dtype: object"
돋질로367번길,4310180,"0    LINESTRING (129.3451904350385 35.5442403987315...
Name: geometry, dtype: object"
돋질로368번길,4310181,"0    LINESTRING (129.3450694128172 35.5429984475149...
Name: geometry, dtype: object"
돋질로374번길,4310182,"0    LINESTRING (129.3456064864374 35.5429569528078...
Name: geometry, dtype: object"
돋질로377번길,4310183,"0    LINESTRING (129.3462451006162 35.5435208698792...
Name: geometry, dtype: object"
돋질로37번길,4310184,"0    LINESTRING (129.3100501522726 35.5374023342771...
Name: geometry, dtype: object"
돋질로37번길,4310184,"0    LINESTRING (129.3096645746859 35.5383872539420...
Name: geometry, dtype: object"
돋질로384번길,4310185,"0    LINESTRING (129.3467585045661 35.5428679289674...
Name: geometry, dtype: object"
돋질로389번길,4310186,"0    LINESTRING (129.3474625710402 35.5440625566305...
Name: geometry, dtype: object"
돋질로390번길,4310187,"0    LINESTRING (129.3473009780602 35.5428260056754...
Name: geometry, dtype: object"
돋질로401번길,4310188,"0    LINESTRING (129.3489511693778 35.5438998294496...
Name: geometry, dtype: object"
돋질로404번길,4310189,"0    LINESTRING (129.348810432732 35.54270507646029...
Name: geometry, dtype: object"
돋질로408번길,4310190,"0    LINESTRING (129.3493209506162 35.5426666970825...
Name: geometry, dtype: object"
돋질로412번길,4310192,"0    LINESTRING (129.349794273319 35.54263110883321...
Name: geometry, dtype: object"
돋질로416번길,4310193,"0    LINESTRING (129.3502954199121 35.5425934283685...
Name: geometry, dtype: object"
돋질로422번길,4310195,"0    LINESTRING (129.3508555755267 35.5431536002340...
Name: geometry, dtype: object"
돋질로426번길,4310196,"0    LINESTRING (129.3512761930099 35.5425196738408...
Name: geometry, dtype: object"
돋질로429번길,4310197,"0    LINESTRING (129.3519057155511 35.5436724193505...
Name: geometry, dtype: object"
돋질로42번길,4310198,"0    LINESTRING (129.3104270269918 35.5375003945944...
Name: geometry, dtype: object"
돋질로430번길,4310199,"0    LINESTRING (129.3517693789007 35.5424825781590...
Name: geometry, dtype: object"
돋질로433번길,4310200,"0    LINESTRING (129.35238793132 35.54303182083601,...
Name: geometry, dtype: object"
돋질로436번길,4310201,"0    LINESTRING (129.3523937739211 35.5430313622016...
Name: geometry, dtype: object"
돋질로445번길,4310202,"0    LINESTRING (129.3534688542654 35.5424974671509...
Name: geometry, dtype: object"
돋질로446번길,4310203,"0    LINESTRING (129.3534631906664 35.5425010257596...
Name: geometry, dtype: object"
돋질로44번길,4310204,"0    LINESTRING (129.3107766391805 35.5375913673769...
Name: geometry, dtype: object"
돋질로47번길,4310205,"0    LINESTRING (129.3111479077333 35.5376889289467...
Name: geometry, dtype: object"
돋질로69번길,4310206,"0    LINESTRING (129.3134684628047 35.5383065504789...
Name: geometry, dtype: object"
돋질로76번길,4310207,"0    LINESTRING (129.3142436221097 35.5379378376642...
Name: geometry, dtype: object"
돋질로7번길,4310208,"0    LINESTRING (129.3066039397171 35.5371202369105...
Name: geometry, dtype: object"
돋질로7번길,4310208,"0    LINESTRING (129.3062135332727 35.5384514711569...
Name: geometry, dtype: object"
돋질로81번길,4310209,"0    LINESTRING (129.3137863719605 35.5407196535983...
Name: geometry, dtype: object"
돋질로81번길,4310209,"0    LINESTRING (129.3146252893366 35.5386083608015...
Name: geometry, dtype: object"
돋질로8번길,4310210,"0    LINESTRING (129.307044093769 35.53603547827802...
Name: geometry, dtype: object"
돋질로91번길,4310211,"0    LINESTRING (129.3157458528232 35.5389006917674...
Name: geometry, dtype: object"
돋질로91번길,4310211,"0    LINESTRING (129.3147522751487 35.5414440505201...
Name: geometry, dtype: object"
돋질로92번길,4310212,"0    LINESTRING (129.3157458528232 35.5389006917674...
Name: geometry, dtype: object"
동산로29번길,4310213,"0    LINESTRING (129.2989597706118 35.5363007071776...
Name: geometry, dtype: object"
동산로47번길,4310214,"0    LINESTRING (129.3009052544672 35.5358729331637...
Name: geometry, dtype: object"
동산로68번길,4310215,"0    LINESTRING (129.3030184266508 35.5358712372938...
Name: geometry, dtype: object"
동산로69번길,4310216,"0    LINESTRING (129.3033824496365 35.5358748240472...
Name: geometry, dtype: object"
동산로82번길,4310217,"0    LINESTRING (129.3048904815561 35.5350645702029...
Name: geometry, dtype: object"
동산로82번길,4310217,"0    LINESTRING (129.3047425176964 35.5355070634115...
Name: geometry, dtype: object"
동산로82번길,4310217,"0    LINESTRING (129.3045608917628 35.5360502164631...
Name: geometry, dtype: object"
동산로82번길,4310217,"0    LINESTRING (129.3048859892922 35.5350780198074...
Name: geometry, dtype: object"
동산로89번길,4310218,"0    LINESTRING (129.3054018479648 35.5362171199018...
Name: geometry, dtype: object"
두왕로106번길,4310219,"0    LINESTRING (129.3104063946163 35.5126302662495...
Name: geometry, dtype: object"
두왕로106번길,4310219,"0    LINESTRING (129.3111489388332 35.5136342017215...
Name: geometry, dtype: object"
두왕로106번길,4310219,"0    LINESTRING (129.3098757285796 35.5126938225927...
Name: geometry, dtype: object"
두왕로106번길,4310219,"0    LINESTRING (129.309207607327 35.51277383350812...
Name: geometry, dtype: object"
두왕로120번길,4310220,"0    LINESTRING (129.3100852786123 35.5138534011434...
Name: geometry, dtype: object"
두왕로126번길,4310221,"0    LINESTRING (129.3095001168377 35.5144341066101...
Name: geometry, dtype: object"
두왕로154번길,4310222,"0    LINESTRING (129.3102564479601 35.5148195146844...
Name: geometry, dtype: object"
두왕로154번길,4310222,"0    LINESTRING (129.3099941862986 35.5170198239805...
Name: geometry, dtype: object"
두왕로174번길,4310223,"0    LINESTRING (129.3107343789805 35.5185524809248...
Name: geometry, dtype: object"
두왕로174번길,4310223,"0    LINESTRING (129.3142547366782 35.5179580040702...
Name: geometry, dtype: object"
두왕로190번길,4310224,"0    LINESTRING (129.3116599315776 35.5198119343143...
Name: geometry, dtype: object"
두왕로190번길,4310224,"0    LINESTRING (129.3150622222085 35.5182077480284...
Name: geometry, dtype: object"
두왕로226번길,4310225,"0    LINESTRING (129.3136096733906 35.5231839774175...
Name: geometry, dtype: object"
두왕로226번길,4310225,"0    LINESTRING (129.3133689567542 35.5232152711893...
Name: geometry, dtype: object"
두왕로226번길,4310225,"0    LINESTRING (129.3124141088337 35.5229020007117...
Name: geometry, dtype: object"
두왕로22번길,4310226,"0    LINESTRING (129.3087758574367 35.5052671901755...
Name: geometry, dtype: object"
두왕로22번길,4310226,"0    LINESTRING (129.3123699841835 35.5051840214832...
Name: geometry, dtype: object"
두왕로22번길,4310226,"0    LINESTRING (129.3109123008082 35.5048749461001...
Name: geometry, dtype: object"
두왕로22번길,4310226,"0    LINESTRING (129.3108454424098 35.5048872580568...
Name: geometry, dtype: object"
두왕로22번길,4310226,"0    LINESTRING (129.3099785391896 35.5050468537061...
Name: geometry, dtype: object"
두왕로22번길,4310226,"0    LINESTRING (129.3094915826847 35.5051364973043...
Name: geometry, dtype: object"
두왕로22번길,4310226,"0    LINESTRING (129.3115232811742 35.5049325477966...
Name: geometry, dtype: object"
두왕로22번길,4310226,"0    LINESTRING (129.3104892860758 35.5049528209771...
Name: geometry, dtype: object"
두왕로244번길,4310227,"0    LINESTRING (129.3118438200019 35.5246261283460...
Name: geometry, dtype: object"
두왕로244번길,4310227,"0    LINESTRING (129.3138629208112 35.5251715448008...
Name: geometry, dtype: object"
두왕로244번길,4310227,"0    LINESTRING (129.3134692237523 35.5251028665680...
Name: geometry, dtype: object"
두왕로244번길,4310227,"0    LINESTRING (129.3129194223618 35.5250026302622...
Name: geometry, dtype: object"
두왕로244번길,4310227,"0    LINESTRING (129.3115519799962 35.5245239509219...
Name: geometry, dtype: object"
두왕로260번길,4310228,"0    LINESTRING (129.3123943747856 35.5266662897492...
Name: geometry, dtype: object"
두왕로260번길,4310228,"0    LINESTRING (129.3117818600342 35.5267628636601...
Name: geometry, dtype: object"
두왕로260번길,4310228,"0    LINESTRING (129.3123783172942 35.5267165423229...
Name: geometry, dtype: object"
두왕로260번길,4310228,"0    LINESTRING (129.3128768531125 35.5261552632141...
Name: geometry, dtype: object"
두왕로260번길,4310228,"0    LINESTRING (129.3134990190395 35.5262948343161...
Name: geometry, dtype: object"
두왕로260번길,4310228,"0    LINESTRING (129.3125773457762 35.5260936123405...
Name: geometry, dtype: object"
두왕로260번길,4310228,"0    LINESTRING (129.3124742695946 35.5264162085532...
Name: geometry, dtype: object"
두왕로260번길,4310228,"0    LINESTRING (129.3131309850765 35.5262122807643...
Name: geometry, dtype: object"
두왕로260번길,4310228,"0    LINESTRING (129.3120314953269 35.5259815548526...
Name: geometry, dtype: object"
두왕로260번길,4310228,"0    LINESTRING (129.3109021182227 35.5257497058588...
Name: geometry, dtype: object"
두왕로264번길,4310229,"0    LINESTRING (129.3107277531707 35.5260740246882...
Name: geometry, dtype: object"
두왕로272번길,4310230,"0    LINESTRING (129.3122441777899 35.5271726912444...
Name: geometry, dtype: object"
두왕로272번길,4310230,"0    LINESTRING (129.3115892568756 35.5273842976351...
Name: geometry, dtype: object"
두왕로272번길,4310230,"0    LINESTRING (129.3115005561878 35.5276677668102...
Name: geometry, dtype: object"
두왕로272번길,4310230,"0    LINESTRING (129.3116909286553 35.5270593804881...
Name: geometry, dtype: object"
두왕로272번길,4310230,"0    LINESTRING (129.3103460894875 35.5267839348556...
Name: geometry, dtype: object"
두왕로272번길,4310230,"0    LINESTRING (129.312823612445 35.52729135766651...
Name: geometry, dtype: object"
두왕로312번길,4310231,"0    LINESTRING (129.3093561896983 35.5301260990150...
Name: geometry, dtype: object"
두왕로312번길,4310231,"0    LINESTRING (129.309882304685 35.53019450611923...
Name: geometry, dtype: object"
두왕로318번길,4310232,"0    LINESTRING (129.3091225369518 35.5305840124206...
Name: geometry, dtype: object"
두왕로322번길,4310233,"0    LINESTRING (129.3081911352166 35.5308496438891...
Name: geometry, dtype: object"
두왕로322번길,4310233,"0    LINESTRING (129.3088955182078 35.5310503445586...
Name: geometry, dtype: object"
두왕로324번길,4310234,"0    LINESTRING (129.3080758980685 35.5310684558963...
Name: geometry, dtype: object"
두왕로324번길,4310234,"0    LINESTRING (129.3085660904506 35.5312165173509...
Name: geometry, dtype: object"
두왕로329번길,4310235,"0    LINESTRING (129.3078496693834 35.5314980292243...
Name: geometry, dtype: object"
두왕로34번길,4310236,"0    LINESTRING (129.3087074688801 35.5063452006942...
Name: geometry, dtype: object"
두왕로34번길,4310236,"0    LINESTRING (129.3116556067864 35.5073772958672...
Name: geometry, dtype: object"
두왕로34번길,4310236,"0    LINESTRING (129.3111416266185 35.5062690997222...
Name: geometry, dtype: object"
두왕로34번길,4310236,"0    LINESTRING (129.3099012632481 35.5063965210662...
Name: geometry, dtype: object"
두왕로34번길,4310236,"0    LINESTRING (129.3116446551931 35.5065740778639...
Name: geometry, dtype: object"
두왕로34번길,4310236,"0    LINESTRING (129.3117108621477 35.5070005816417...
Name: geometry, dtype: object"
두왕로34번길,4310236,"0    LINESTRING (129.3093807278458 35.5063746061714...
Name: geometry, dtype: object"
두왕로48번길,4310237,"0    LINESTRING (129.3086253022049 35.5076205673815...
Name: geometry, dtype: object"
두왕로48번길,4310237,"0    LINESTRING (129.3097712252802 35.5077016725871...
Name: geometry, dtype: object"
두왕로48번길,4310237,"0    LINESTRING (129.3092781115866 35.5076667715887...
Name: geometry, dtype: object"
두왕로64번길,4310238,"0    LINESTRING (129.3086305974349 35.5090111133563...
Name: geometry, dtype: object"
두왕로64번길,4310238,"0    LINESTRING (129.3092680414456 35.5090025217027...
Name: geometry, dtype: object"
두왕로72번길,4310239,"0    LINESTRING (129.3093449919128 35.5097070325293...
Name: geometry, dtype: object"
두왕로78번길,4310240,"0    LINESTRING (129.3094058464799 35.5101882966823...
Name: geometry, dtype: object"
두왕로78번길,4310240,"0    LINESTRING (129.3087672461461 35.5102632816604...
Name: geometry, dtype: object"
두왕로92번길,4310241,"0    LINESTRING (129.3102483976447 35.5114789742092...
Name: geometry, dtype: object"
두왕로92번길,4310241,"0    LINESTRING (129.3089769344292 35.5114881523405...
Name: geometry, dtype: object"
두왕로92번길,4310241,"0    LINESTRING (129.3096249592446 35.5113978121402...
Name: geometry, dtype: object"
문수로217번길,4310242,"0    LINESTRING (129.2779081471276 35.5378876308480...
Name: geometry, dtype: object"
문수로279번길,4310243,"0    LINESTRING (129.2842188578726 35.5366000028937...
Name: geometry, dtype: object"
문수로283번길,4310244,"0    LINESTRING (129.2847311527788 35.5365044712414...
Name: geometry, dtype: object"
문수로289번길,4310245,"0    LINESTRING (129.2852705498873 35.5358860774859...
Name: geometry, dtype: object"
문수로295번길,4310246,"0    LINESTRING (129.2858655467782 35.5364021544247...
Name: geometry, dtype: object"
문수로301번길,4310247,"0    LINESTRING (129.286489772051 35.53568998271945...
Name: geometry, dtype: object"
문수로302번길,4310248,"0    LINESTRING (129.286506732066 35.53568719368808...
Name: geometry, dtype: object"
문수로314번길,4310249,"0    LINESTRING (129.2878532912919 35.5354656199773...
Name: geometry, dtype: object"
문수로317번길,4310250,"0    LINESTRING (129.2883723617084 35.5359322485354...
Name: geometry, dtype: object"
문수로321번길,4310251,"0    LINESTRING (129.28881004037 35.53591060297074,...
Name: geometry, dtype: object"
문수로327번길,4310252,"0    LINESTRING (129.2893296246722 35.5352223518668...
Name: geometry, dtype: object"
문수로333번길,4310254,"0    LINESTRING (129.2899116764095 35.5358157438161...
Name: geometry, dtype: object"
문수로335번길,4310255,"0    LINESTRING (129.2903332263166 35.5350601256922...
Name: geometry, dtype: object"
문수로344번길,4310256,"0    LINESTRING (129.2909835610454 35.5343339341247...
Name: geometry, dtype: object"
문수로351번길,4310257,"0    LINESTRING (129.2920282929007 35.5347878466033...
Name: geometry, dtype: object"
문수로352번길,4310258,"0    LINESTRING (129.2920609781482 35.5347825313321...
Name: geometry, dtype: object"
문수로358번길,4310259,"0    LINESTRING (129.2923802262209 35.5341074217652...
Name: geometry, dtype: object"
문수로359번길,4310260,"0    LINESTRING (129.2928681675154 35.5346511488191...
Name: geometry, dtype: object"
문수로360번길,4310261,"0    LINESTRING (129.2928105195896 35.5340376323306...
Name: geometry, dtype: object"
문수로366번길,4310262,"0    LINESTRING (129.2932700478819 35.5339631019260...
Name: geometry, dtype: object"
문수로369번길,4310263,"0    LINESTRING (129.2940705904842 35.5353898862320...
Name: geometry, dtype: object"
문수로369번길,4310263,"0    LINESTRING (129.2939645140444 35.5344781952835...
Name: geometry, dtype: object"
문수로369번길,4310263,"0    LINESTRING (129.2940704674782 35.5353742310385...
Name: geometry, dtype: object"
문수로370번길,4310264,"0    LINESTRING (129.2937180595831 35.5338904363202...
Name: geometry, dtype: object"
문수로388번길,4310265,"0    LINESTRING (129.2958237212761 35.5341831125892...
Name: geometry, dtype: object"
문수로392번길,4310266,"0    LINESTRING (129.2963171141634 35.5341038372458...
Name: geometry, dtype: object"
문수로409번길,4310267,"0    LINESTRING (129.2981566254983 35.5337917142588...
Name: geometry, dtype: object"
문수로410번길,4310268,"0    LINESTRING (129.2981862344129 35.5337866212069...
Name: geometry, dtype: object"
문수로423번길,4310269,"0    LINESTRING (129.2997381878795 35.5340016275996...
Name: geometry, dtype: object"
문수로423번길,4310269,"0    LINESTRING (129.2997023975785 35.5352055936529...
Name: geometry, dtype: object"
문수로423번길,4310269,"0    LINESTRING (129.2997525918567 35.5335170377762...
Name: geometry, dtype: object"
문수로435번길,4310270,"0    LINESTRING (129.3009968813047 35.5333028797980...
Name: geometry, dtype: object"
문수로435번길,4310270,"0    LINESTRING (129.3009460466851 35.5346637450256...
Name: geometry, dtype: object"
문수로435번길,4310270,"0    LINESTRING (129.3009164033746 35.5355408865617...
Name: geometry, dtype: object"
문수로435번길,4310270,"0    LINESTRING (129.3009164033746 35.5355408865617...
Name: geometry, dtype: object"
문수로435번길,4310270,"0    LINESTRING (129.3009273047088 35.5352164204438...
Name: geometry, dtype: object"
문수로437번길,4310271,"0    LINESTRING (129.3013722494173 35.533238261506,...
Name: geometry, dtype: object"
문수로441번길,4310272,"0    LINESTRING (129.3017429448372 35.5331744558323...
Name: geometry, dtype: object"
문수로445번길,4310273,"0    LINESTRING (129.3020390083099 35.5346669747342...
Name: geometry, dtype: object"
문수로445번길,4310273,"0    LINESTRING (129.3020163399644 35.5352114763327...
Name: geometry, dtype: object"
문수로445번길,4310273,"0    LINESTRING (129.3020897611935 35.5331147553554...
Name: geometry, dtype: object"
문수로445번길,4310273,"0    LINESTRING (129.3020380575273 35.5346899511074...
Name: geometry, dtype: object"
문수로445번길,4310273,"0    LINESTRING (129.3020651075576 35.534040239402,...
Name: geometry, dtype: object"
문수로457번길,4310274,"0    LINESTRING (129.3032982640826 35.5339619826800...
Name: geometry, dtype: object"
문수로457번길,4310274,"0    LINESTRING (129.3034130189233 35.5336040075660...
Name: geometry, dtype: object"
문수로457번길,4310274,"0    LINESTRING (129.3035104951917 35.5328784373758...
Name: geometry, dtype: object"
문수로457번길,4310274,"0    LINESTRING (129.3031711526048 35.5342181963419...
Name: geometry, dtype: object"
문수로460번길,4310275,"0    LINESTRING (129.3036588587628 35.5328566239347...
Name: geometry, dtype: object"
문수로463번길,4310276,"0    LINESTRING (129.3033910965603 35.5353839213151...
Name: geometry, dtype: object"
문수로463번길,4310276,"0    LINESTRING (129.304029166735 35.53280217666485...
Name: geometry, dtype: object"
문수로480번길,4310277,"0    LINESTRING (129.3054288480714 35.5311558397648...
Name: geometry, dtype: object"
문수로480번길,4310277,"0    LINESTRING (129.3057881418352 35.5325435050402...
Name: geometry, dtype: object"
문수로483번길,4310278,"0    LINESTRING (129.3062300319554 35.5324783162202...
Name: geometry, dtype: object"
문수로75번길,4310279,"0    LINESTRING (129.2621825187025 35.5388721023143...
Name: geometry, dtype: object"
문수로75번길,4310279,"0    LINESTRING (129.2621809860326 35.5383984479768...
Name: geometry, dtype: object"
문수로87번길,4310280,"0    LINESTRING (129.2636572652472 35.5398972287747...
Name: geometry, dtype: object"
문수로87번길,4310280,"0    LINESTRING (129.2635225495022 35.5384640298129...
Name: geometry, dtype: object"
번영로104번길,4310282,"0    LINESTRING (129.3298514285956 35.5347727862665...
Name: geometry, dtype: object"
번영로107번길,4310283,"0    LINESTRING (129.3290499484986 35.5350705451665...
Name: geometry, dtype: object"
번영로114번길,4310284,"0    LINESTRING (129.3294534196779 35.5357076187875...
Name: geometry, dtype: object"
번영로114번길,4310284,"0    LINESTRING (129.3294160667873 35.5357007353335...
Name: geometry, dtype: object"
